id,title,document,source,category,metadata_json
5a1600c5-1ca0-4c21-a24f-60b8d0fb1fb9,Grid Visualization,"Sheet: Requirements
Requirement: Grid Visualization
Description: Module that allows you to view an orthogonal representation of the network and graphically identify elements that meet a series of conditions (DER, Critical Issues, etc.). Usability, tool awareness
Value/Goal: Usability, tool awareness",Audit_Alarms_KnowledgeBase_merged.csv,Requirements,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Requirements"", ""requirements"": ""Grid Visualization"", ""value"": ""Usability, tool awareness"", ""team"": ""none"", ""macro_activity"": ""none"", ""activity"": ""none"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": NaN}"
ffd11ba1-0b5f-49e1-9397-7e70834d01f7,Audit Module,"Sheet: Requirements
Requirement: Audit Module
Description: Module that allows you to log all actions performed by users and services of the DERMS application. Process monitoring and tracking of any conflicts of interest (legal).
Value/Goal: Process monitoring and tracking of potential conflicts of interest (legal)",Audit_Alarms_KnowledgeBase_merged.csv,Requirements,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Requirements"", ""requirements"": ""Modulo di audit"", ""value"": ""Process monitoring and tracking of potential conflicts of interest (legal)"", ""team"": ""none"", ""macro_activity"": ""none"", ""activity"": ""none"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": NaN}"
3b49db62-441e-4573-af6a-f4690f694b98,Alarms Module,"Sheet: Requirements
Requirement: Alarms Module
Description: Module for designing and managing alarms and notifications in DERMS (critical issues, new contracts, network load, etc.). Operator-configurable alerts, usability.
Value/Goal: Operator-configurable alerts, usability",Audit_Alarms_KnowledgeBase_merged.csv,Requirements,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Requirements"", ""requirements"": ""Audit Module"", ""value"": ""Operator-configurable alerts, usability"", ""team"": ""none"", ""macro_activity"": ""none"", ""activity"": ""none"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": NaN}"
54dd5e0e-ba7a-4c28-aa15-25848ec40b0a,C.Calculation Team - Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien) - DERMS Grid Visualization,"Sheet: Stimation
Requirement: Grid Visualization
Team: C.Calculation Team
MacroActivity: Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien)
Activity: DERMS Grid Visualization
Estimation (days): 2.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""C.Calculation Team"", ""macro_activity"": ""Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien)"", ""activity"": ""DERMS Grid Visualization"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 2.0}"
2c77747f-8980-483b-99e1-e6b4a04ce854,D.Front Team - Grid Visualization DERMS/ TL - DERMS Grid Visualization,"Sheet: Stimation
Requirement: Grid Visualization
Team: D.Front Team
MacroActivity: Grid Visualization DERMS/ TL
Activity: DERMS Grid Visualization
Estimation (days): 2.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""D.Front Team"", ""macro_activity"": ""Grid Visualization DERMS/ TL"", ""activity"": ""DERMS Grid Visualization"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 2.0}"
b59f0087-f34b-4a2a-8518-6a1d96f312aa,C.Calculation Team - Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien) - TL Grid Visualization,"Sheet: Stimation
Requirement: Grid Visualization
Team: C.Calculation Team
MacroActivity: Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien)
Activity: TL Grid Visualization
Estimation (days): 2.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""C.Calculation Team"", ""macro_activity"": ""Grid Visualization DERMS/ TL (Metamos paginacion y algunos filtros tambien)"", ""activity"": ""TL Grid Visualization"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 2.0}"
765a83d4-b0f5-45c9-8449-850597dd8db8,D.Front Team - Grid Visualization DERMS/ TL - TL Grid Visualization,"Sheet: Stimation
Requirement: Grid Visualization
Team: D.Front Team
MacroActivity: Grid Visualization DERMS/ TL
Activity: TL Grid Visualization
Estimation (days): 1.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""D.Front Team"", ""macro_activity"": ""Grid Visualization DERMS/ TL"", ""activity"": ""TL Grid Visualization"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 1.0}"
ea0655e7-1802-4d22-adf9-068121830fb5,D.Front Team - Color Criticalities - Color Criticalities,"Sheet: Stimation
Requirement: Grid Visualization
Team: D.Front Team
MacroActivity: Color Criticalities
Activity: Color Criticalities
Estimation (days): 1.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""D.Front Team"", ""macro_activity"": ""Color Criticalities"", ""activity"": ""Color Criticalities"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 1.0}"
b0a4a276-85fa-42e8-b9be-44f5927366f5,D.Front Team - Operation navegation buttons - Operation navegation buttons (Operation - Ortogonal),"Sheet: Stimation
Requirement: Grid Visualization
Team: D.Front Team
MacroActivity: Operation navegation buttons
Activity: Operation navegation buttons (Operation - Ortogonal)
Estimation (days): 1.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""D.Front Team"", ""macro_activity"": ""Operation navegation buttons"", ""activity"": ""Operation navegation buttons (Operation - Ortogonal)"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 1.0}"
83cc4502-f479-473d-b284-6744647de01e,C.Calculation Team - Display Line information - Recover Line information (name etc),"Sheet: Stimation
Requirement: Grid Visualization
Team: C.Calculation Team
MacroActivity: Display Line information
Activity: Recover Line information (name etc)
Estimation (days): 0.5",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""C.Calculation Team"", ""macro_activity"": ""Display Line information"", ""activity"": ""Recover Line information (name etc)"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 0.5}"
9786abc0-e3d0-4dca-930f-877855542c32,A.Platform Team - Display Line information - Export Line Information,"Sheet: Stimation
Requirement: Grid Visualization
Team: A.Platform Team
MacroActivity: Display Line information
Activity: Export Line Information
Estimation (days): 2.0",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""A.Platform Team"", ""macro_activity"": ""Display Line information"", ""activity"": ""Export Line Information"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 2.0}"
5fb87e1d-d3c2-4b9e-9fb4-f307db599b3a,D.Front Team - Display Line information - Show Line information,"Sheet: Stimation
Requirement: Grid Visualization
Team: D.Front Team
MacroActivity: Display Line information
Activity: Show Line information
Estimation (days): 0.5",Audit_Alarms_KnowledgeBase_merged.csv,Stimation,"{""source_file"": ""Audit_Alarms_KnowledgeBase_merged.csv"", ""sheet"": ""Stimation"", ""requirements"": ""Grid Visualization"", ""value"": ""none"", ""team"": ""D.Front Team"", ""macro_activity"": ""Display Line information"", ""activity"": ""Show Line information"", ""profile"": ""none"", ""rate_per_day"": ""none"", ""estimation_days"": 0.5}"
